Pick,Round,Player,School,Position,Team,ReachValue,Points,State,PickTraded,ActualPick
1,1,Trevor Lawrence,Clemson,QB,Jacksonville,+0,40,South Carolina,False,True
2,1,Zach Wilson,BYU,QB,NY Jets,-2,35,Utah,False,True
3,1,Trey Lance,North Dakota State,QB,San Francisco (Trade),-7,45,North Dakota,True,True
4,1,Kyle Pitts,Florida,TE,Atlanta,-1,35,Florida,False,True
5,1,Ja'Marr Chase,LSU,WR,Cincinnati,+2,35,Louisiana,False,True
6,1,Jaylen Waddle,Alabama,WRS,Miami (Trade),-1,45,Alabama,True,True
7,1,Penei Sewell,Oregon,OT,Detroit,+5,35,Oregon,False,True
8,1,Jaycee Horn,South Carolina,CB,Carolina,-5,35,South Carolina,False,True
9,1,Patrick Surtain II,Alabama,CB,Denver,+1,35,Alabama,False,True
10,1,DeVonta Smith,Alabama,WR,Philadelphia (Trade),+1,45,Alabama,True,True
11,1,Justin Fields,Ohio State,QB,Chicago (Trade),+5,40,Ohio,True,True
12,1,Micah Parsons,Penn State,OLB,Dallas (Trade),+0,40,Pennsylvania,True,True
13,1,Rashawn Slater,Northwestern,OT,LA Chargers,+2,30,Illinois,False,True
14,1,Alijah Vera-Tucker,USC,OG,NY Jets (Trade),-5,40,California,True,True
15,1,Mac Jones,Alabama,QB,New England,+0,30,Alabama,False,True
16,1,Zaven Collins,Tulsa,OLB,Arizona,-18,30,Oklahoma,False,True
17,1,Alex Leatherwood,Alabama,OT,Las Vegas,-10,30,Alabama,False,True
18,1,Jaelan Phillips,Miami (FL),EDGE,Miami,+2,30,Florida,False,True
19,1,Jamin Davis,Kentucky,OLB,Washington,-30,30,Kentucky,False,True
20,1,Kadarius Toney,Florida,WR,NY Giants,-24,40,Florida,True,True
21,1,Kwity Paye,Michigan,EDGE,Indianapolis,+4,25,Michigan,False,True
22,1,Caleb Farley,Virginia Tech,CB,Tennessee,-7,25,Virginia,False,True
23,1,Christian Darrisaw,Virginia Tech,OT,Minnesota (Trade),+9,35,Virginia,True,True
24,1,Najee Harris,Alabama,RB,Pittsburgh,-18,25,Alabama,False,True
25,1,Travis Etienne,Clemson,RB,Jacksonville,-7,35,South Carolina,True,True
26,1,Greg Newsome II,Northwestern,CB,Cleveland,+2,25,Illinois,False,True
27,1,Rashod Bateman,Minnesota,WR,Baltimore,+5,25,Minnesota,False,True
28,1,Payton Turner,Houston,EDGE,New Orleans,-31,25,Texas,False,True
29,1,Eric Stokes,Georgia,CB,Green Bay,-41,25,Georgia,False,True
30,1,Gregory Rousseau,Miami (FL),EDGE,Buffalo,-6,25,Florida,False,True
31,1,Jayson Oweh,Penn State,EDGE,Baltimore (Trade),-7,35,Pennsylvania,True,True
32,1,Joe Tryon,Washington,EDGE,Tampa Bay,-33,25,Washington,False,True
33,2,Tyson Campbell,Georgia,CB,Jacksonville,-14,20,Georgia,False,True
34,2,Elijah Moore,Ole Miss,WR,NY Jets,-23,20,Mississippi,False,True
35,2,Javonte Williams,North Carolina,RB,Denver (Trade),-17,30,North Carolina,True,True
36,2,Jevon Holland,Oregon,S,Miami (Trade),-12,30,Oregon,True,True
37,2,Landon Dickerson,Alabama,OC,Philadelphia,-24,20,Alabama,False,True
38,2,Christian Barmore,Alabama,DL1T,New England (Trade),+18,30,Alabama,True,True
39,2,Teven Jenkins,Oklahoma State,OT,Chicago (Trade),+8,30,Oklahoma,True,True
